codigo,descricao,is_st,is_transferencia
1504,ENTRADA DECORRENTE DE DEVOLUCAO DE MERCADORIA REMETIDA COM F,False,False
1550,OPERACOES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO,False,False
1551,COMPRA DE BEM PARA O ATIVO IMOBILIZADO,False,False
1552,TRANSFERENCIA DE BEM DO ATIVO IMOBILIZADO,False,True
1553,DEVOLUCAO DE VENDA DE BEM DO ATIVO IMOBILIZADO,False,False
1554,RETORNO DE BEM DO ATIVO IMOBILIZADO REMETIDO PARA USO FORA D,False,False
1555,"ENTRADA DE BEM DO ATIVO IMOBILIZADO DE TERCEIRO, REMETIDO P",False,False
1556,COMPRA DE MATERIAL PARA USO OU CONSUMO,False,False
1557,TRANSFERENCIA DE MATERIAL PARA USO OU CONSUMO,False,True
1600,CREDITOS E RESSARCIMENTOS DE ICMS,False,False
1601,"RECEBIMENTO, POR TRANSFERENCIA, DE CREDITO DE ICMS",False,False
1602,"RECEBIMENTO, POR TRANSFERENCIA, DE SALDO CREDOR DE ICMS DE O",False,False
1603,RESSARCIMENTO DE ICMS RETIDO POR SUBSTITUICAO TRIBUTARIA,True,False
1604,LANCAMENTO CREDITO RELATIVO A COMPRA DE BEM PARA ATIVO IMOBI,False,False
1605,"RECEBIMENTO, POR TRANSFERENCIA, DE SALDO DEVEDOR DE ICMS DE",False,False
1650,"ENTRADAS DE COMBUSTIVEIS, DERIVADOS OU NAO DE PETROLEO E LUB",False,False
1651,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE PARA INDUSTRIALIZACAO,False,False
1652,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE PARA COMERCIALIZACAO,False,False
1653,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE POR CONSUMIDOR OU USUA,False,False
1658,TRANSFERENCIA DE COMBUSTIVEL E LUBRIFICANTE PARA INDUSTRIALI,False,True
1659,TRANSFERENCIA DE COMBUSTIVEL E LUBRIFICANTE PARA COMERCIALIZ,False,True
1660,DEVOLUCAO DE VENDA DE COMBUSTIVEL OU LUBRIFICANTE DESTINADO,False,False
1661,DEVOLUCAO DE VENDA DE COMBUSTIVEL OU LUBRIFICANTE DESTINADO,False,False
1662,DEVOLUCAO DE VENDA DE COMBUSTIVEL OU LUBRIFICANTE DESTINADO,False,False
1663,ENTRADA DE COMBUSTIVEL OU LUBRIFICANTE PARA ARMAZENAGEM,False,False
1664,RETORNO DE COMBUSTIVEL OU LUBRIFICANTE REMETIDO PARA ARMAZEN,False,False
1900,OUTRAS ENTRADAS DE MERCADORIAS OU AQUISICOES DE SERVICOS,False,False
1901,ENTRADA PARA INDUSTRIALIZACAO POR ENCOMENDA,False,False
1902,RETORNO DE MERCADORIA REMETIDA PARA INDUSTRIALIZACAO POR ENC,False,False
1903,ENTRADA DE MERCADORIA REMETIDA PARA INDUSTRIALIZACAO E NAO A,False,False
1904,RETORNO DE REMESSA PARA VENDA FORA DO ESTABELECIMENTO,False,False
1905,ENTRADA DE MERCADORIA RECEBIDA PARA DEPOSITO EM DEPOSITO FEC,False,False
1906,RETORNO DE MERC. REMETIDA PARA DEPOSITO FECHADO OU ARM.GERAL,False,False
1907,RETORNO SIMBOLICO DE MERCADORIA REMETIDA PARA DEPOSITO FECH,False,False
1908,ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO,False,False
1909,RETORNO DE BEM REMETIDO POR CONTA DE CONTRATO COMODATO,False,False
1910,ENTRADA ESTADUAL MERC.BONIFICADA,False,False
1911,ENTRADA ESTADUAL MERC.AMOSTRA GRATIS,False,False
1912,ENTRADA ESTADUAL MERC.REC.DEMONSTRACAO,False,False
1913,RETORNO ESTADUAL MERC.REC.DEMONSTRACAO,False,False
